# period period state
1000 1009 A
1009 1044 B
1009 1060 C
1014 1027 A
1047 1062 B
1061 1065 C
1070 1077 B
1073 1116 C
1078 1086 A
1085 1118 B
1135 1155 C
1137 1144 A
1139 1162 B
1153 1164 A
1164 1169 B
1164 1177 C
1170 1201 B
1174 1196 A
1202 1203 A
1208 1216 B
1217 1219 A
1223 1226 C
1224 1233 B
1237 1258 B
1243 1260 A
1250 1255 C
1260 1261 C
1260 1266 B
1269 1298 B
1285 1299 A
1299 1301 B
1299 1306 C
1329 1338 B
1334 1352 C
1341 1347 B
1353 1383 C
1362 1371 B
1381 1386 B
1392 1396 B
1410 1420 A
1420 1433 C
1420 1445 B
1426 1428 A
1455 1457 A
1457 1472 B
1457 1476 C
1459 1478 A
1475 1491 B
1490 1494 A
1494 1509 C
1494 1516 B
1504 1575 A
1520 1570 C
1563 1639 B
1574 1592 C
1581 1605 A
1631 1649 C
1651 1657 B
1653 1663 A
1663 1665 C
1663 1668 B
1666 1681 A
1670 1680 C
1681 1714 C
1681 1725 B
1692 1711 A
1720 1727 A
1727 1729 C
1727 1732 B
1734 1738 C
1737 1743 A
1743 1750 C
1743 1763 B
1746 1767 A
1767 1781 B
1767 1806 C
1768 1772 A
1785 1799 B
1787 1795 A
1798 1812 A
1812 1822 B
1812 1877 C
1813 1851 A
1837 1878 B
1869 1879 A
1879 1908 C
1879 1976 B
1894 1904 A
1910 1919 C
1913 1927 A
1922 1935 C
1942 1992 A
1979 1991 C
1992 1993 C
1992 2025 B
1995 2027 A
2006 2042 C
2047 2050 A
2050 2054 B
2050 2072 C
2058 2068 B
2076 2081 A
2081 2088 B
2081 2110 C
2104 2111 A
2111 2119 B
2111 2159 C
2114 2130 A
2121 2125 B
2133 2152 A
2134 2179 B
2170 2172 C
2187 2189 A
2189 2198 C
2189 2212 B
2191 2209 A
2223 2247 A
2231 2251 B
2252 2261 B
2255 2279 A
2260 2278 C
2279 2280 B
2279 2289 C
2284 2290 A
2297 2329 C
2313 2323 B
2320 2346 A
2333 2345 C
2356 2378 B
2369 2381 A
2383 2391 C
2394 2402 C
2399 2400 A
2407 2432 B
2434 2435 A
2435 2443 B
2435 2454 C
2441 2447 A
2446 2453 B
2457 2492 C
2462 2527 B
2472 2474 A
2478 2488 A
2497 2526 C
2515 2525 A
2530 2533 A
2533 2536 C
2533 2580 B
2548 2550 C
2573 2581 A
2581 2585 C
2581 2604 B
2593 2612 A
2606 2624 B
2608 2659 C
2632 2653 A
2651 2668 B
2663 2674 A
2674 2691 B
2674 2718 C
2676 2690 A
2704 2714 A
2725 2773 B
2727 2741 A
2732 2812 C
2744 2747 A
2753 2764 A
2770 2800 A
