# value value
2.184134 -0.237991
1.933605 0.090663
1.818112 -0.212247
1.991648 -0.034799
2.072449 -0.001870
2.035668 -0.095171
2.142682 0.039425
2.088794 0.117129
1.944008 0.127504
2.004014 -0.036192
1.831436 -0.439144
1.570495 -0.188512
2.007748 -0.010114
2.035007 0.002992
2.136769 -0.087940
1.838195 -0.012715
1.949422 0.061465
1.802961 0.010565
2.118322 0.197069
2.028307 0.043873
1.881362 -0.081319
1.984829 -0.017458
2.002122 -0.009002
1.783271 0.237080
2.041216 -0.031065
1.900131 0.427559
2.048211 0.599067
2.127352 0.434436
1.929594 0.011913
1.931673 -0.175193
2.692429 0.313947
2.282044 0.470521
2.027926 -0.162386
1.906146 -0.136741
1.909869 0.041787
1.974834 0.014664
2.096994 0.017986
2.023838 0.043600
2.144823 0.225466
2.238339 0.251551
2.082629 0.063662
2.047050 0.037043
1.993199 0.003283
2.063040 -0.056206
1.969336 -0.102142
1.938541 -0.070682
2.065748 0.023946
2.160834 -0.165756
1.889329 -0.067566
2.012098 -0.041243
-0.364157 -0.115099
-0.179196 0.631961
-0.106894 -0.122113
0.301900 0.259384
0.070218 -0.017010
-0.057977 0.046436
-0.139146 -0.038010
-0.132723 0.004672
-0.134543 0.066292
-0.132242 -0.001889
-0.111918 -0.024788
-0.253236 -0.013213
-0.133364 -0.000617
-0.027536 0.063193
-0.059419 0.010584
0.023292 -0.210109
-0.026513 0.150689
-0.023520 0.096398
-0.203593 -0.110685
-0.184622 0.221039
-0.211673 -0.201306
-0.198729 0.001461
-0.130178 0.000273
-0.141587 0.090092
-0.181915 0.490265
0.246684 -0.185788
-0.119204 0.011148
-0.538101 -0.171950
-0.142177 -0.281507
-0.252656 -0.243389
-0.120890 -0.039858
-0.298249 -0.023715
-0.175299 0.054039
-0.171880 0.301951
0.240844 0.171893
-0.148550 0.024396
-0.112790 0.172720
-0.106371 -0.101280
-0.123150 -0.016202
0.219886 -0.192480
-0.223472 0.284233
-0.122539 0.008378
-0.219084 0.204136
-0.136601 0.032063
0.506195 -0.780903
-0.158780 0.021596
-0.345693 0.153771
-0.212470 0.334700
-0.141974 0.015915
0.109234 -0.456688
-0.804322 0.560263
-1.168900 0.786676
-0.897136 0.286652
-1.236358 0.567662
-0.995219 0.587773
-0.994454 0.501229
-0.818638 0.847020
-1.106251 0.410188
-0.965666 0.504945
-1.119703 0.129158
-0.999448 0.504375
-1.003268 0.459058
-1.123905 0.540228
-1.055523 -0.334630
-0.930463 0.580627
-1.001637 0.557092
-0.976087 0.799457
-1.093712 0.566858
-0.985882 0.475620
-1.011601 0.490971
-0.925501 0.356071
-0.987897 0.493936
-1.011163 0.665100
-1.000986 0.497076
-0.934921 0.405933
-0.819402 0.292049
-0.994119 0.456426
-1.140416 0.894216
-0.858284 0.639859
-1.125878 0.401699
-0.963039 0.416598
-1.002307 0.501837
-0.839701 0.284161
-0.959684 0.472973
-0.985129 0.463895
-1.001425 0.308247
-1.024451 0.409974
-1.225426 0.748702
-0.942336 0.722799
-0.978433 0.498010
-1.014485 0.419083
-0.974270 0.490724
-0.952711 0.463984
-0.974045 0.517642
-1.028200 0.566396
-1.005900 0.460475
-0.910281 0.571266
-0.825873 0.456859
-0.960840 0.489821
-1.033845 0.402025
-0.996965 -0.480610
-0.714610 -0.690797
-1.240942 -0.417462
-0.951246 -0.718736
-1.087468 -0.547284
-1.001508 -0.491929
-1.164800 -0.712087
-1.299153 -0.284071
-1.022675 -0.514447
-0.523656 0.525305
-1.025624 -0.509849
-1.247195 -0.776241
-0.906882 -0.731411
-1.131710 -0.379584
-0.989996 -0.649393
-1.213199 -0.537268
-1.026016 -0.690608
-0.900358 -0.466094
-0.992590 -0.477759
-1.080879 -0.500880
-1.183104 -0.780438
-0.846510 -0.476138
-1.064446 -0.481146
-0.868595 -0.508027
-1.010385 -0.548254
-1.017567 -0.439997
-0.968192 -1.527544
-0.961150 -0.779973
-1.466367 -0.245009
-0.443980 -0.664234
-0.919004 -0.027532
-0.865702 -0.289323
-1.090671 -0.474085
-0.942892 -0.508973
-1.041034 -0.532435
-0.854914 -0.104360
-0.995712 -0.523923
-0.951457 -0.478906
-1.066066 -0.803330
-1.014178 -0.406897
-0.997809 -0.447840
-1.123028 -0.721685
-1.285633 -0.588608
-1.002969 -0.555317
-0.996028 -0.500231
-0.844029 -0.545166
-0.983281 -0.466423
-1.591196 -0.609500
-0.940288 -0.521951
-1.015681 -0.518234

