# ref key origkey label 
* 0 * *    
0 1 0 Setosa  5.1 3.5 1.4 0.2  
0 2 1 Setosa  4.9 3 1.4 0.2  
0 3 2 Setosa  4.7 3.2 1.3 0.2  
0 4 3 Setosa  4.6 3.1 1.5 0.2  
0 5 4 Setosa  5 3.6 1.4 0.2  
0 6 5 Setosa  5.4 3.9 1.7 0.4  
0 7 6 Setosa  4.6 3.4 1.4 0.3  
0 8 7 Setosa  5 3.4 1.5 0.2  
0 9 8 Setosa  4.4 2.9 1.4 0.2  
0 10 9 Setosa  4.9 3.1 1.5 0.1  
0 11 10 Setosa  5.4 3.7 1.5 0.2  
0 12 11 Setosa  4.8 3.4 1.6 0.2  
0 13 12 Setosa  4.8 3 1.4 0.1  
0 14 13 Setosa  4.3 3 1.1 0.1  
0 15 14 Setosa  5.8 4 1.2 0.2  
0 16 15 Setosa  5.7 4.4 1.5 0.4  
0 17 16 Setosa  5.4 3.9 1.3 0.4  
0 18 17 Setosa  5.1 3.5 1.4 0.3  
0 19 18 Setosa  5.7 3.8 1.7 0.3  
0 20 19 Setosa  5.1 3.8 1.5 0.3  
0 21 20 Setosa  5.4 3.4 1.7 0.2  
0 22 21 Setosa  5.1 3.7 1.5 0.4  
0 23 22 Setosa  4.6 3.6 1 0.2  
0 24 23 Setosa  5.1 3.3 1.7 0.5  
0 25 24 Setosa  4.8 3.4 1.9 0.2  
0 26 25 Setosa  5 3 1.6 0.2  
0 27 26 Setosa  5 3.4 1.6 0.4  
0 28 27 Setosa  5.2 3.5 1.5 0.2  
0 29 28 Setosa  5.2 3.4 1.4 0.2  
0 30 29 Setosa  4.7 3.2 1.6 0.2  
0 31 30 Setosa  4.8 3.1 1.6 0.2  
0 32 31 Setosa  5.4 3.4 1.5 0.4  
0 33 32 Setosa  5.2 4.1 1.5 0.1  
0 34 33 Setosa  5.5 4.2 1.4 0.2  
0 35 34 Setosa  4.9 3.1 1.5 0.1  
0 36 35 Setosa  5 3.2 1.2 0.2  
0 37 36 Setosa  5.5 3.5 1.3 0.2  
0 38 37 Setosa  4.9 3.1 1.5 0.1  
0 39 38 Setosa  4.4 3 1.3 0.2  
0 40 39 Setosa  5.1 3.4 1.5 0.2  
0 41 40 Setosa  5 3.5 1.3 0.3  
0 42 41 Setosa  4.5 2.3 1.3 0.3  
0 43 42 Setosa  4.4 3.2 1.3 0.2  
0 44 43 Setosa  5 3.5 1.6 0.6  
0 45 44 Setosa  5.1 3.8 1.9 0.4  
0 46 45 Setosa  4.8 3 1.4 0.3  
0 47 46 Setosa  5.1 3.8 1.6 0.2  
0 48 47 Setosa  4.6 3.2 1.4 0.2  
0 49 48 Setosa  5.3 3.7 1.5 0.2  
0 50 49 Setosa  5 3.3 1.4 0.2  
* 51 * *    
51 52 50 Versicolor  7 3.2 4.7 1.4  
51 53 51 Versicolor  6.4 3.2 4.5 1.5  
51 54 52 Versicolor  6.9 3.1 4.9 1.5  
51 55 53 Versicolor  5.5 2.3 4 1.3  
51 56 54 Versicolor  6.5 2.8 4.6 1.5  
51 57 55 Versicolor  5.7 2.8 4.5 1.3  
51 58 56 Versicolor  6.3 3.3 4.7 1.6  
51 59 57 Versicolor  4.9 2.4 3.3 1  
51 60 58 Versicolor  6.6 2.9 4.6 1.3  
51 61 59 Versicolor  5.2 2.7 3.9 1.4  
51 62 60 Versicolor  5 2 3.5 1  
51 63 61 Versicolor  5.9 3 4.2 1.5  
51 64 62 Versicolor  6 2.2 4 1  
51 65 63 Versicolor  6.1 2.9 4.7 1.4  
51 66 64 Versicolor  5.6 2.9 3.6 1.3  
51 67 65 Versicolor  6.7 3.1 4.4 1.4  
51 68 66 Versicolor  5.6 3 4.5 1.5  
51 69 67 Versicolor  5.8 2.7 4.1 1  
